train/actor_loss,train/learning_rate,train/ent_coef,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/fps,time/episodes,train/critic_loss,train/ent_coef_loss,train/n_updates
-12.512767791748047,0.00075,0.0020296177826821804,500.0,2.54279376,1051,224000,213,440,0.014530377462506294,3.9850118160247803,15764
-12.194788932800293,0.00075,0.0019925408996641636,500.0,2.4169370499999996,1085,231000,212,450,0.01715954579412937,5.445231914520264,16264
,,,500.0,2.4169370499999996,1085,231000,212,460,,,
-12.2527437210083,0.00075,0.002093255054205656,500.0,2.0297231599999996,1118,238000,212,470,0.021357951685786247,1.706251621246338,16764
-11.876605033874512,0.00075,0.0019165065605193377,500.0,2.0131915600000005,1152,245000,212,480,0.01619146764278412,14.052316665649414,17264
,,,500.0,2.0131915600000005,1152,245000,212,490,,,
-11.622990608215332,0.00075,0.001829658285714686,500.0,1.40874235,1186,252000,212,500,0.021929055452346802,0.020342588424682617,17764
-11.678524017333984,0.00075,0.0017174113309010863,500.0,1.25574328,1220,259000,212,510,1.1939873695373535,-16.374223709106445,18264
-11.065319061279297,0.00075,0.0016259084222838283,500.0,1.1577126899999999,1254,266000,212,520,1.2297239303588867,-0.24489277601242065,18764
,,,500.0,1.1577126899999999,1254,266000,212,530,,,
-11.051462173461914,0.00075,0.0015263388631865382,500.0,2.0914864399999997,1287,273000,212,540,0.018809575587511063,9.684054374694824,19264
-10.950746536254883,0.00075,0.0015020834980532527,500.0,2.11741351,1321,280000,211,550,0.015573037788271904,2.7789576053619385,19764
,,,500.0,2.11741351,1321,280000,211,560,,,
-10.754809379577637,0.00075,0.0015841842396184802,500.0,2.36158056,1354,287000,211,570,0.01623464748263359,-8.300802230834961,20264
-10.267623901367188,0.00075,0.0014732405543327332,500.0,3.21446934,1388,294000,211,580,0.017369046807289124,7.325927257537842,20764
-10.21010684967041,0.00075,0.0014233862748369575,500.0,3.2089034000000005,1421,301000,211,590,0.017138490453362465,-9.32879638671875,21264
,,,500.0,3.2089034000000005,1421,301000,211,600,,,
