time/total_timesteps,train/actor_loss,train/critic_loss,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/learning_rate,train/ent_coef_loss,train/n_updates,time/episodes,train/ent_coef,rollout/ep_len_mean
532000,-5.389369010925293,0.007533884607255459,3.7752417000000005,209,2538,0.00075,-0.5932788848876953,37764,1060,0.0011322988430038095,500.0
539000,-5.306957244873047,0.13405926525592804,6.306357199999999,209,2572,0.00075,5.149954319000244,38264,1070,0.0011914321221411228,500.0
546000,-5.75279426574707,0.11206313967704773,6.65096291,209,2606,0.00075,-9.382223129272461,38764,1080,0.0010833452688530087,500.0
546000,,,6.65096291,209,2606,,,,1090,,500.0
553000,-4.923069953918457,0.36792829632759094,8.28488347,209,2639,0.00075,2.903329610824585,39264,1100,0.0011991406790912151,500.0
560000,-5.155706882476807,0.048491112887859344,8.405929699999998,209,2672,0.00075,-2.041315793991089,39764,1110,0.0011055010836571455,500.0
560000,,,8.405929699999998,209,2672,,,,1120,,500.0
567000,-5.023690223693848,0.01736440137028694,7.78559118,209,2706,0.00075,-3.4150705337524414,40264,1130,0.001121237757615745,500.0
574000,-5.231186389923096,0.01800128072500229,7.822691130000001,209,2739,0.00075,0.7007197737693787,40764,1140,0.0012215998722240329,500.0
581000,-4.948719024658203,0.012582383118569851,9.61475784,209,2773,0.00075,-1.5730228424072266,41264,1150,0.0011442716931924224,500.0
581000,,,9.61475784,209,2773,,,,1160,,500.0
588000,-5.407495021820068,0.21042799949645996,8.090927119999998,209,2806,0.00075,4.4211201667785645,41764,1170,0.0011501216795295477,500.0
595000,-5.001974105834961,0.0625665932893753,8.34927484,209,2841,0.00075,-3.684317111968994,42264,1180,0.001378079759888351,500.0
595000,,,8.34927484,209,2841,,,,1190,,500.0
602000,-4.897688865661621,0.01368650421500206,8.438022530000001,209,2875,0.00075,6.032742977142334,42764,1200,0.0012663197703659534,500.0
609000,-4.7404093742370605,0.01818021386861801,7.114090450000001,209,2909,0.00075,-14.674793243408203,43264,1210,0.0012575843138620257,500.0
616000,-4.798164367675781,0.013940135017037392,8.373753440000002,209,2942,0.00075,0.1923527717590332,43764,1220,0.001470075687393546,500.0
616000,,,8.373753440000002,209,2942,,,,1230,,500.0
623000,-5.286051273345947,0.5260387659072876,9.301528799999998,209,2976,0.00075,7.719120025634766,44264,1240,0.0013887140667065978,500.0
630000,-5.034045696258545,0.06463918089866638,10.42374599,209,3009,0.00075,2.1996705532073975,44764,1250,0.0015340965474024415,500.0
630000,,,10.42374599,209,3009,,,,1260,,500.0
637000,-4.722232818603516,0.01866353116929531,11.96553568,209,3041,0.00075,4.015162944793701,45264,1270,0.0016515388851985335,500.0
644000,-5.153738498687744,0.030947525054216385,11.249516580000002,209,3073,0.00075,-0.9676356315612793,45764,1280,0.0016810252564027905,500.0
651000,-5.281313419342041,0.06446901708841324,12.438684349999999,209,3105,0.00075,4.971545219421387,46264,1290,0.0017756435554474592,500.0
651000,,,12.438684349999999,209,3105,,,,1300,,500.0
658000,-5.196972846984863,0.028844743967056274,13.32426173,209,3137,0.00075,2.4929513931274414,46764,1310,0.001844422658905387,500.0
665000,-4.878594398498535,0.09808540344238281,16.472984940000003,209,3170,0.00075,-1.6458796262741089,47264,1320,0.0020104371942579746,500.0
665000,,,16.472984940000003,209,3170,,,,1330,,500.0
672000,-4.85472297668457,0.01952231675386429,17.87265311,209,3202,0.00075,-1.1101586818695068,47764,1340,0.0022274383809417486,500.0
679000,-5.588531494140625,0.023375853896141052,18.72507031,209,3234,0.00075,-2.3767735958099365,48264,1350,0.0022889296524226665,500.0
686000,-5.890136241912842,0.1585007756948471,20.67466601,209,3266,0.00075,1.7061710357666016,48764,1360,0.0023221664596349,500.0
686000,,,20.67466601,209,3266,,,,1370,,500.0
693000,-5.989452838897705,0.03977683559060097,20.44535049,210,3297,0.00075,-7.2178120613098145,49264,1380,0.002281204331666231,500.0
700000,-6.489739418029785,0.12273873388767242,19.15875801,210,3329,0.00075,7.405246257781982,49764,1390,0.002559065818786621,500.0
700000,,,19.15875801,210,3329,,,,1400,,500.0
707000,-5.464931488037109,0.053409796208143234,18.92456019,210,3360,0.00075,-4.300350189208984,50264,1410,0.0025276904925704002,500.0
714000,-6.377723217010498,0.04466641694307327,17.10868573,210,3391,0.00075,-1.0797009468078613,50764,1420,0.002396190771833062,500.0
721000,-6.392085075378418,0.17747527360916138,15.732129810000002,210,3423,0.00075,2.590357780456543,51264,1430,0.00244219321757555,500.0
721000,,,15.732129810000002,210,3423,,,,1440,,500.0
728000,-6.393435955047607,0.0570112019777298,16.488644389999997,210,3453,0.00075,-0.08066225051879883,51764,1450,0.002732033608481288,500.0
735000,-6.018022537231445,0.03006662428379059,14.77732307,210,3485,0.00075,0.14452487230300903,52264,1460,0.002803887240588665,500.0
735000,,,14.77732307,210,3485,,,,1470,,500.0
742000,-6.813103199005127,0.37890124320983887,20.87579859,210,3517,0.00075,19.614238739013672,52764,1480,0.0027047120966017246,500.0
749000,-6.4511613845825195,0.03653426095843315,23.33059132,211,3548,0.00075,-7.677515506744385,53264,1490,0.0028072907589375973,500.0
756000,-6.474020481109619,0.04389270767569542,26.332391110000007,211,3580,0.00075,-1.360238790512085,53764,1500,0.0028535909950733185,500.0
756000,,,26.332391110000007,211,3580,,,,1510,,500.0
763000,-6.619739055633545,0.06237201765179634,26.056178429999996,211,3611,0.00075,0.4035646915435791,54264,1520,0.0031461697071790695,500.0
770000,-7.170241355895996,0.07275732606649399,27.70799923,211,3642,0.00075,-0.6647384166717529,54764,1530,0.0030597851146012545,500.0
770000,,,27.70799923,211,3642,,,,1540,,500.0
777000,-7.329690456390381,0.12408234179019928,29.547945350000006,211,3674,0.00075,2.1289713382720947,55264,1550,0.002547016367316246,500.0
784000,-6.879517078399658,0.0648234635591507,27.210116530000004,211,3706,0.00075,-3.317293643951416,55764,1560,0.0027870768681168556,500.0
791000,-7.157522201538086,0.06561165302991867,22.232826420000002,211,3737,0.00075,-6.636862277984619,56264,1570,0.003057901980355382,500.0
791000,,,22.232826420000002,211,3737,,,,1580,,500.0
798000,-6.716203689575195,0.5823420286178589,21.238050369999996,211,3769,0.00075,1.7912919521331787,56764,1590,0.002942098071798682,500.0
805000,-7.125063896179199,0.19237583875656128,26.7451089,211,3801,0.00075,-6.210041046142578,57264,1600,0.002953548217192292,500.0
805000,,,26.7451089,211,3801,,,,1610,,500.0
812000,-7.206448078155518,1.602599859237671,29.035234099999997,211,3834,0.00075,2.0318546295166016,57764,1620,0.0030186225194483995,500.0
819000,-7.712861061096191,0.13007909059524536,30.32829006,211,3866,0.00075,0.4362930655479431,58264,1630,0.0031582110095769167,500.0
826000,-7.924933433532715,0.44338923692703247,35.01034452,211,3898,0.00075,1.3213906288146973,58764,1640,0.0035345484502613544,500.0
826000,,,35.01034452,211,3898,,,,1650,,500.0
833000,-7.768795967102051,1.1386346817016602,39.02675285,211,3929,0.00075,-5.417354106903076,59264,1660,0.0037058584857732058,500.0
840000,-8.3914794921875,0.1076572984457016,49.96866364,212,3961,0.00075,-0.9824415445327759,59764,1670,0.0036028383765369654,500.0
840000,,,49.96866364,212,3961,,,,1680,,500.0
847000,-8.60511589050293,0.13673846423625946,49.012937150000006,212,3993,0.00075,1.2399619817733765,60264,1690,0.0037339001428335905,500.0
854000,-9.03780746459961,0.13325485587120056,48.29801532000001,212,4025,0.00075,3.360354423522949,60764,1700,0.004024419467896223,500.0
861000,-7.772465229034424,0.12297482043504715,47.37540908000001,212,4057,0.00075,7.7500529289245605,61264,1710,0.004244282376021147,500.0
861000,,,47.37540908000001,212,4057,,,,1720,,500.0
868000,-8.878538131713867,0.15078705549240112,48.463499280000015,212,4089,0.00075,-6.633798122406006,61764,1730,0.003996392711997032,500.0
875000,-8.83941650390625,1.3078361749649048,46.942563140000004,212,4121,0.00075,2.2168612480163574,62264,1740,0.004125147592276335,500.0
875000,,,46.942563140000004,212,4121,,,,1750,,500.0
882000,-9.177448272705078,0.1706218272447586,46.879053789999986,212,4152,0.00075,-4.109242916107178,62764,1760,0.004468098282814026,500.0
889000,-9.316879272460938,0.18228831887245178,42.22870476,212,4184,0.00075,3.9267327785491943,63264,1770,0.0040404400788247585,500.0
896000,-10.188166618347168,4.362593650817871,49.55041178,212,4216,0.00075,8.945796966552734,63764,1780,0.0038650287315249443,500.0
896000,,,49.55041178,212,4216,,,,1790,,500.0
903000,-9.26678466796875,0.3330322802066803,49.975825959999995,212,4247,0.00075,1.8633167743682861,64264,1800,0.004555439576506615,500.0
910000,-9.953850746154785,0.5270596742630005,51.84560439,212,4279,0.00075,3.2381768226623535,64764,1810,0.004795904736965895,500.0
910000,,,51.84560439,212,4279,,,,1820,,500.0
