train/actor_loss,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/ent_coef_loss,rollout/ep_len_mean,time/episodes,time/fps,train/learning_rate,train/n_updates,train/ent_coef,train/critic_loss
-6.208342552185059,18.739608,2354,497000,1.3937433958053589,500.0,990,211,0.00075,35264,0.001598432776518166,0.030102288350462914
-6.531094551086426,18.42814177,2386,504000,7.250762939453125,500.0,1000,211,0.00075,35764,0.0018383957212790847,0.04900475591421127
-5.720117568969727,17.08942996,2421,511000,-7.761784553527832,500.0,1010,211,0.00075,36264,0.0018021820578724146,0.024633944034576416
,17.08942996,2421,511000,,500.0,1020,211,,,,
-5.750118255615234,16.111604309999997,2454,518000,-3.483877182006836,500.0,1030,211,0.00075,36764,0.0018287983257323503,0.06871668249368668
-6.1025495529174805,15.23127156,2486,525000,5.975290775299072,500.0,1040,211,0.00075,37264,0.0015699189389124513,0.059373803436756134
,15.23127156,2486,525000,,500.0,1050,211,,,,
-6.316845893859863,12.074546939999998,2520,532000,1.7240890264511108,500.0,1060,211,0.00075,37764,0.0017187590710818768,0.08123813569545746
-6.4718499183654785,22.303437670000005,2553,539000,3.1083803176879883,500.0,1070,211,0.00075,38264,0.0018278348725289106,0.6146288514137268
-5.747576713562012,20.35624501,2586,546000,0.27969038486480713,500.0,1080,211,0.00075,38764,0.0020268422085791826,0.056830257177352905
,20.35624501,2586,546000,,500.0,1090,211,,,,
-6.223411560058594,19.567930580000002,2619,553000,0.421914666891098,500.0,1100,211,0.00075,39264,0.0021735180635005236,0.03723366558551788
-6.041755676269531,20.14640702,2651,560000,2.2887344360351562,500.0,1110,211,0.00075,39764,0.002169121755287051,0.0793541669845581
,20.14640702,2651,560000,,500.0,1120,211,,,,
-5.98988676071167,22.954147590000005,2684,567000,-5.075531959533691,500.0,1130,211,0.00075,40264,0.002467160811647773,0.13250038027763367
-5.4717183113098145,32.875362190000004,2718,574000,-3.3363404273986816,500.0,1140,211,0.00075,40764,0.0024648630060255527,0.017837481573224068
-5.705918788909912,38.83049506,2751,581000,5.165511131286621,500.0,1150,211,0.00075,41264,0.002411681693047285,0.09275621175765991
,38.83049506,2751,581000,,500.0,1160,211,,,,
-5.889340877532959,36.79907054000001,2784,588000,-2.1406326293945312,500.0,1170,211,0.00075,41764,0.0024966641794890165,0.06979876756668091
-6.076571941375732,36.482898250000005,2818,595000,-2.2188730239868164,500.0,1180,211,0.00075,42264,0.0028597847558557987,0.053725168108940125
,36.482898250000005,2818,595000,,500.0,1190,211,,,,
-6.492283344268799,42.62966798,2851,602000,-1.6241687536239624,500.0,1200,211,0.00075,42764,0.002861378015950322,0.09007734805345535
-7.039222240447998,58.46325173,2885,609000,-5.609394073486328,500.0,1210,211,0.00075,43264,0.003254035022109747,0.21939855813980103
-6.590286731719971,69.04175439000001,2918,616000,-4.218145370483398,500.0,1220,211,0.00075,43764,0.0033355909399688244,0.12978805601596832
,69.04175439000001,2918,616000,,500.0,1230,211,,,,
-6.445030689239502,69.74291476,2952,623000,1.6992928981781006,500.0,1240,211,0.00075,44264,0.003653714433312416,0.09535477310419083
-6.621124267578125,71.2100135,2985,630000,-1.1113868951797485,500.0,1250,211,0.00075,44764,0.003871132154017687,0.09466926753520966
,71.2100135,2985,630000,,500.0,1260,211,,,,
-7.2100114822387695,71.83553438,3016,637000,-0.9204456210136414,500.0,1270,211,0.00075,45264,0.0040443530306220055,0.129969984292984
-7.194691181182861,83.54566645999999,3048,644000,-4.060361862182617,500.0,1280,211,0.00075,45764,0.0040100752376019955,0.2143254280090332
-7.469654560089111,90.54966894,3080,651000,-2.2187554836273193,500.0,1290,211,0.00075,46264,0.00415859604254365,0.6710438132286072
,90.54966894,3080,651000,,500.0,1300,211,,,,
-7.895204067230225,91.83359847,3112,658000,-1.7429842948913574,500.0,1310,211,0.00075,46764,0.004373715724796057,0.30380308628082275
-7.26732063293457,95.23921424999997,3145,665000,-3.0832958221435547,500.0,1320,211,0.00075,47264,0.004401817452162504,0.16990847885608673
,95.23921424999997,3145,665000,,500.0,1330,211,,,,
-7.78216028213501,94.54073665999998,3177,672000,9.512432098388672,500.0,1340,211,0.00075,47764,0.005003331694751978,0.11602433770895004
-8.994935035705566,94.34524558999999,3209,679000,4.485259056091309,500.0,1350,211,0.00075,48264,0.005081041716039181,0.5551278591156006
-9.896574020385742,100.53799265000002,3240,686000,2.598055839538574,500.0,1360,211,0.00075,48764,0.004603686276823282,0.6305429339408875
,100.53799265000002,3240,686000,,500.0,1370,211,,,,
-9.297012329101562,93.12559612000001,3271,693000,-4.190038204193115,500.0,1380,211,0.00075,49264,0.004890262149274349,0.4696798324584961
-10.508319854736328,90.76093533000001,3303,700000,1.6104402542114258,500.0,1390,211,0.00075,49764,0.005335294175893068,0.36785492300987244
,90.76093533000001,3303,700000,,500.0,1400,211,,,,
-8.360380172729492,86.76827743000001,3335,707000,-3.11857533454895,500.0,1410,211,0.00075,50264,0.005414601415395737,0.8532907366752625
-9.894731521606445,78.82668063999999,3366,714000,8.24462890625,500.0,1420,212,0.00075,50764,0.0052670142613351345,0.2421087622642517
-9.985222816467285,89.78725525,3398,721000,6.199326038360596,500.0,1430,212,0.00075,51264,0.005477319471538067,0.17602914571762085
,89.78725525,3398,721000,,500.0,1440,212,,,,
-10.349853515625,109.54559134000002,3430,728000,-1.9904849529266357,500.0,1450,212,0.00075,51764,0.005970927886664867,0.4205325245857239
-13.36625862121582,99.47565657000001,3461,735000,6.711597442626953,500.0,1460,212,0.00075,52264,0.005459660664200783,0.7822398543357849
,99.47565657000001,3461,735000,,500.0,1470,212,,,,
-11.021628379821777,109.65316149,3494,742000,-3.935135841369629,500.0,1480,212,0.00075,52764,0.006401998456567526,0.27018558979034424
-11.84742259979248,148.86405389,3526,749000,-4.954472064971924,500.0,1490,212,0.00075,53264,0.006571275647729635,0.3193630278110504
-13.756383895874023,173.52888396000003,3559,756000,10.103899955749512,500.0,1500,212,0.00075,53764,0.006271449849009514,0.2605060935020447
,173.52888396000003,3559,756000,,500.0,1510,212,,,,
-12.539257049560547,202.21408149,3591,763000,-2.35665225982666,500.0,1520,212,0.00075,54264,0.006156858988106251,0.49022677540779114
-14.464725494384766,195.13371181,3623,770000,-0.5433961153030396,500.0,1530,212,0.00075,54764,0.006438434589654207,0.4563479423522949
,195.13371181,3623,770000,,500.0,1540,212,,,,
-12.539597511291504,220.48797333999994,3654,777000,3.266360282897949,500.0,1550,212,0.00075,55264,0.006729050073772669,0.42840296030044556
-13.63187026977539,231.87411972,3687,784000,-0.14588016271591187,500.0,1560,212,0.00075,55764,0.007141356356441975,0.3625888228416443
-13.021976470947266,256.10541566999996,3719,791000,0.3774479627609253,500.0,1570,212,0.00075,56264,0.006727718282490969,0.3154942989349365
,256.10541566999996,3719,791000,,500.0,1580,212,,,,
-13.992483139038086,252.59112531,3751,798000,-0.9135726690292358,500.0,1590,212,0.00075,56764,0.006959357764571905,0.44140058755874634
-14.074193954467773,269.94985867,3782,805000,2.8896307945251465,500.0,1600,212,0.00075,57264,0.007224675267934799,0.8141652345657349
,269.94985867,3782,805000,,500.0,1610,212,,,,
-15.057512283325195,286.83397227,3814,812000,-1.288858413696289,500.0,1620,212,0.00075,57764,0.007164187263697386,1.6933127641677856
-18.01114273071289,294.00761897000007,3846,819000,-2.543034315109253,500.0,1630,212,0.00075,58264,0.007741735782474279,1.2668758630752563
-16.358850479125977,284.46512060000003,3878,826000,-1.7148332595825195,500.0,1640,212,0.00075,58764,0.0074953376315534115,1.9643292427062988
,284.46512060000003,3878,826000,,500.0,1650,212,,,,
-20.658708572387695,310.88730529,3909,833000,11.546411514282227,500.0,1660,213,0.00075,59264,0.007877473719418049,0.8449325561523438
-19.955080032348633,305.98880268,3941,840000,-0.9740726947784424,500.0,1670,213,0.00075,59764,0.007679178845137358,0.9158129096031189
,305.98880268,3941,840000,,500.0,1680,213,,,,
-19.967430114746094,292.35720075999996,3973,847000,-3.3694262504577637,500.0,1690,213,0.00075,60264,0.00827023759484291,1.2856675386428833
-17.094810485839844,286.95258771,4004,854000,2.9714746475219727,500.0,1700,213,0.00075,60764,0.007934299297630787,0.8452028036117554
