train/learning_rate,train/actor_loss,rollout/ep_rew_mean,time/fps,train/n_updates,time/total_timesteps,train/ent_coef_loss,time/time_elapsed,time/episodes,train/ent_coef,rollout/ep_len_mean,train/critic_loss
0.00075,-7.693068504333496,0.05,214,27764,392000,-2.471545457839966,1825,780,0.0013561706291511655,500.0,0.9975876808166504
0.00075,-7.707890510559082,0.05,214,28264,399000,-7.281054496765137,1858,790,0.0012180436169728637,500.0,0.008550979197025299
0.00075,-7.373842239379883,0.05,214,28764,406000,-1.5784176588058472,1891,800,0.0012004234595224261,500.0,0.004796240478754044
,,0.05,214,,406000,,1892,810,,500.0,
0.00075,-7.268632888793945,0.0,214,29264,413000,-5.354290962219238,1925,820,0.0010884272633120418,500.0,0.03535545617341995
0.00075,-7.303421497344971,0.0,214,29764,420000,5.161355972290039,1958,830,0.0010655258083716035,500.0,0.004719614051282406
,,0.0,214,,420000,,1958,840,,500.0,
0.00075,-6.950692653656006,0.0,214,30264,427000,-6.169902324676514,1991,850,0.001181998522952199,500.0,0.0033286893740296364
0.00075,-6.8742899894714355,0.0,214,30764,434000,-1.8939030170440674,2024,860,0.001121457084082067,500.0,0.004398338496685028
0.00075,-6.951888084411621,0.0,214,31264,441000,6.657304763793945,2058,870,0.0010502765653654933,500.0,0.014862621203064919
,,0.0,214,,441000,,2058,880,,500.0,
0.00075,-6.6829023361206055,0.0,214,31764,448000,-3.5249381065368652,2091,890,0.0011230303207412362,500.0,0.0028257272206246853
0.00075,-6.53179931640625,0.0,214,32264,455000,3.2919669151306152,2125,900,0.0010757489362731576,500.0,0.007362731732428074
,,0.0,214,,455000,,2125,910,,500.0,
0.00075,-6.26185417175293,0.0,214,32764,462000,10.388532638549805,2158,920,0.001189278089441359,500.0,0.016128316521644592
0.00075,-6.324612617492676,0.0,213,33264,469000,0.6482498645782471,2192,930,0.001215835683979094,500.0,0.015099110081791878
0.00075,-6.10968542098999,0.0,213,33764,476000,-3.967816114425659,2225,940,0.0011567408218979836,500.0,0.019220031797885895
,,0.0,213,,476000,,2225,950,,500.0,
0.00075,-5.9522857666015625,0.0,213,34264,483000,-4.350459098815918,2258,960,0.001073956023901701,500.0,0.004980390425771475
0.00075,-5.7530517578125,0.0,213,34764,490000,-2.5612852573394775,2292,970,0.0009853844530880451,500.0,0.004412321373820305
,,0.0,213,,490000,,2292,980,,500.0,
0.00075,-6.020447254180908,0.9,213,35264,497000,0.9575672149658203,2325,990,0.0010351119562983513,500.0,0.0033205768559128046
0.00075,-5.783491611480713,0.9,213,35764,504000,2.8298916816711426,2359,1000,0.0009940278250724077,500.0,0.013112731277942657
0.00075,-5.623397350311279,0.9,213,36264,511000,11.25602912902832,2392,1010,0.0009068900835700333,500.0,0.004063582047820091
,,0.9,213,,511000,,2392,1020,,500.0,
0.00075,-5.502418518066406,3.51,213,36764,518000,6.860726356506348,2426,1030,0.0009719086228869855,500.0,0.02239646390080452
0.00075,-5.454347610473633,3.51,213,37264,525000,25.879343032836914,2459,1040,0.001079727546311915,500.0,0.22938737273216248
,,3.51,213,,525000,,2459,1050,,500.0,
0.00075,-5.351588726043701,3.51,213,37764,532000,-8.793342590332031,2492,1060,0.001150621334090829,500.0,0.00462633091956377
0.00075,-5.290146827697754,3.51,213,38264,539000,-2.6134986877441406,2526,1070,0.001066696597263217,500.0,0.004869064781814814
