time/episodes,time/time_elapsed,train/learning_rate,train/n_updates,rollout/ep_len_mean,train/actor_loss,time/fps,train/ent_coef,train/critic_loss,rollout/ep_rew_mean,time/total_timesteps,train/ent_coef_loss
576,1208,,,500.0,,239,,,85.61,290000,
580,1208,,,500.0,,239,,,85.61,290000,
584,1229,0.00075,29169,500.0,-14.184922218322754,239,0.005693297833204269,0.5287148952484131,83.47,295000,-3.8152449131011963
588,1229,,,500.0,,239,,,83.47,295000,
592,1250,0.00075,29669,500.0,-15.9358491897583,239,0.0064180209301412106,0.23128736019134521,108.64,300000,9.440763473510742
596,1250,,,500.0,,239,,,108.64,300000,
600,1250,,,500.0,,239,,,108.64,300000,
604,1271,0.00075,30169,500.0,-15.504499435424805,239,0.00630679726600647,0.37669050693511963,125.15,305000,1.8047479391098022
608,1272,,,500.0,,239,,,125.15,305000,
612,1293,0.00075,30669,500.0,-13.912796020507812,239,0.006909185089170933,1.259144902229309,143.81,310000,-0.492806613445282
616,1293,,,500.0,,239,,,143.81,310000,
620,1293,,,500.0,,239,,,143.81,310000,
624,1314,0.00075,31169,500.0,-13.446783065795898,239,0.006087015848606825,0.2682574391365051,136.19,315000,-5.5271759033203125
628,1314,,,500.0,,239,,,136.19,315000,
632,1336,0.00075,31669,500.0,-13.722834587097168,239,0.006456888280808926,0.930147647857666,141.26,320000,-8.270133972167969
636,1336,,,500.0,,239,,,141.26,320000,
640,1336,,,500.0,,239,,,141.26,320000,
644,1358,0.00075,32169,500.0,-13.749128341674805,239,0.006519556511193514,0.12183113396167755,151.76,325000,-5.211696624755859
648,1358,,,500.0,,239,,,151.76,325000,
652,1378,0.00075,32669,500.0,-15.439423561096191,239,0.0064870757050812244,0.16085271537303925,166.97,330000,-3.7053918838500977
656,1378,,,500.0,,239,,,166.97,330000,
660,1378,,,500.0,,239,,,166.97,330000,
664,1399,0.00075,33169,500.0,-14.501067161560059,239,0.00663773762062192,0.35540059208869934,147.59,335000,9.203094482421875
