train/ent_coef,train/actor_loss,time/total_timesteps,time/episodes,train/n_updates,time/fps,train/learning_rate,rollout/ep_len_mean,train/critic_loss,rollout/ep_rew_mean,train/ent_coef_loss,time/time_elapsed
,,280000,560,,223,,500.0,,2.4182455800000002,,1252
0.0027789552696049213,-11.324634552001953,287000,570,20264,223,0.00075,500.0,0.05858583375811577,8.195363799999999,-9.975245475769043,1284
0.002641256432980299,-10.521615982055664,294000,580,20764,223,0.00075,500.0,0.07112961262464523,8.36000893,8.809882164001465,1315
0.002795823384076357,-10.756488800048828,301000,590,21264,223,0.00075,500.0,0.8867416381835938,9.150880019999999,0.024586915969848633,1346
,,301000,600,,223,,500.0,,9.150880019999999,,1346
0.002586034359410405,-11.069987297058105,308000,610,21764,223,0.00075,500.0,0.04271179810166359,9.956919809999999,-9.019014358520508,1377
0.002133085858076811,-10.16205883026123,315000,620,22264,223,0.00075,500.0,0.02371796779334545,9.766043980000001,11.886014938354492,1409
,,315000,630,,223,,500.0,,9.766043980000001,,1409
0.003460890846326947,-10.328387260437012,322000,640,22764,223,0.00075,500.0,0.06034436076879501,9.54283999,-10.099387168884277,1441
0.0025936600286513567,-10.189360618591309,329000,650,23264,223,0.00075,500.0,0.015219639986753464,8.94081801,-10.688358306884766,1474
0.00234659924171865,-9.872392654418945,336000,660,23764,222,0.00075,500.0,0.020526327192783356,3.8501942299999996,-6.079079627990723,1506
,,336000,670,,222,,500.0,,3.8501942299999996,,1506
0.002283623907715082,-9.58570671081543,343000,680,24264,222,0.00075,500.0,0.0658184140920639,3.1261263200000013,2.397326707839966,1539
0.0021112135145813227,-9.846282958984375,350000,690,24764,222,0.00075,500.0,0.6713191270828247,3.9407285400000007,15.512029647827148,1571
,,350000,700,,222,,500.0,,3.9407285400000007,,1571
0.002274629892781377,-9.52987003326416,357000,710,25264,222,0.00075,500.0,0.036615241318941116,2.8704589699999996,7.21071195602417,1602
0.002538510598242283,-8.919794082641602,364000,720,25764,222,0.00075,500.0,0.026349620893597603,2.7806500200000004,-0.33550024032592773,1634
0.002569556003436446,-8.61572265625,371000,730,26264,222,0.00075,500.0,0.6542205810546875,2.79747441,0.2580937147140503,1665
,,371000,740,,222,,500.0,,2.79747441,,1665
0.0032141851261258125,-8.545105934143066,378000,750,26764,222,0.00075,500.0,0.03333725780248642,2.7801630900000003,-8.456774711608887,1697
0.0026859939098358154,-8.65654182434082,385000,760,27264,222,0.00075,500.0,0.09452229738235474,3.2825559699999998,-7.642594337463379,1729
,,385000,770,,222,,500.0,,3.2825559699999998,,1729
0.0024421398993581533,-7.980168342590332,392000,780,27764,222,0.00075,500.0,0.020111987367272377,3.0790502199999996,-8.168922424316406,1760
0.002428416395559907,-8.505012512207031,399000,790,28264,222,0.00075,500.0,0.08274120092391968,2.1335923699999997,-3.73037052154541,1792
0.0022653567139059305,-7.742949485778809,406000,800,28764,222,0.00075,500.0,1.1629703044891357,4.201483669999999,-4.753496170043945,1823
,,406000,810,,222,,500.0,,4.201483669999999,,1823
0.0020073698833584785,-8.052213668823242,413000,820,29264,222,0.00075,500.0,1.2596259117126465,4.933761430000001,5.105166435241699,1855
0.002265876391902566,-8.222799301147461,420000,830,29764,222,0.00075,500.0,0.04917960613965988,6.281927370000001,-0.6713554859161377,1887
,,420000,840,,222,,500.0,,6.281927370000001,,1887
0.00255134841427207,-7.875645637512207,427000,850,30264,222,0.00075,500.0,0.3514043688774109,6.751928739999999,-0.3050462007522583,1918
0.002434516092762351,-7.610566139221191,434000,860,30764,222,0.00075,500.0,0.03554621338844299,6.307935399999999,-4.92869234085083,1948
0.0027481084689497948,-7.242718696594238,441000,870,31264,222,0.00075,500.0,0.02653605118393898,9.17374581,5.256305694580078,1979
,,441000,880,,222,,500.0,,9.17374581,,1979
0.0024319773074239492,-7.016523361206055,448000,890,31764,222,0.00075,500.0,0.019381685182452202,8.705742429999999,-7.673151969909668,2010
0.002656263532117009,-7.478785514831543,455000,900,32264,222,0.00075,500.0,0.137953981757164,7.370112620000002,0.3209154009819031,2041
,,455000,910,,222,,500.0,,7.370112620000002,,2041
0.0026381928473711014,-7.032644271850586,462000,920,32764,222,0.00075,500.0,0.06921924650669098,6.869160230000002,-12.576129913330078,2072
0.00231455871835351,-7.202676773071289,469000,930,33264,222,0.00075,500.0,0.2939932942390442,5.8240918399999995,-9.442359924316406,2104
