train/learning_rate,time/fps,rollout/ep_len_mean,train/n_updates,rollout/ep_rew_mean,train/ent_coef_loss,train/ent_coef,train/actor_loss,time/time_elapsed,train/critic_loss,time/total_timesteps,time/episodes
0.00075,210,500.0,20264,2.40432224,7.741072654724121,0.0015146189834922552,-10.567917823791504,1360,0.016932714730501175,287000,570
0.00075,210,500.0,20764,3.0750998899999997,-6.929908752441406,0.0015219361521303654,-10.158428192138672,1394,0.5899971127510071,294000,580
0.00075,210,500.0,21264,3.2658534699999997,4.077286720275879,0.0013677323004230857,-9.947210311889648,1427,0.0061251213774085045,301000,590
,210,500.0,,3.2658534699999997,,,,1427,,301000,600
0.00075,210,500.0,21764,3.88090309,5.61051082611084,0.001263909856788814,-9.849546432495117,1461,0.27649974822998047,308000,610
0.00075,210,500.0,22264,3.78467334,6.6982316970825195,0.001338699134066701,-9.598695755004883,1495,0.006835317239165306,315000,620
,210,500.0,,3.78467334,,,,1495,,315000,630
0.00075,210,500.0,22764,3.7148644800000006,-1.5026646852493286,0.0015756433131173253,-9.438411712646484,1528,0.6022520661354065,322000,640
0.00075,210,500.0,23264,4.1638094,-7.406661510467529,0.0014817893970757723,-9.087955474853516,1562,0.00857582874596119,329000,650
0.00075,210,500.0,23764,3.6183379099999997,-6.735034942626953,0.0012582656927406788,-9.15847396850586,1596,0.00827034842222929,336000,660
,210,500.0,,3.6183379099999997,,,,1596,,336000,670
0.00075,210,500.0,24264,2.97916786,-10.296438217163086,0.0012275933986529708,-8.788115501403809,1629,0.012466421350836754,343000,680
0.00075,210,500.0,24764,3.5005215400000003,-0.39957714080810547,0.0011640740558505058,-8.638484954833984,1662,0.01013308484107256,350000,690
,210,500.0,,3.5005215400000003,,,,1662,,350000,700
0.00075,210,500.0,25264,3.55464399,-12.650047302246094,0.0011880905367434025,-8.51739501953125,1696,0.008937470614910126,357000,710
0.00075,210,500.0,25764,4.05671546,1.114999771118164,0.0012499684235081077,-8.039953231811523,1729,0.013689327985048294,364000,720
0.00075,210,500.0,26264,5.955756150000001,-4.250964164733887,0.0012658078921958804,-8.059021949768066,1762,0.008538034744560719,371000,730
,210,500.0,,5.955756150000001,,,,1762,,371000,740
0.00075,210,500.0,26764,6.583910219999999,-3.875847816467285,0.0012234571622684598,-7.774764060974121,1796,0.5611032247543335,378000,750
0.00075,210,500.0,27264,8.41495343,10.70566463470459,0.0013105141697451472,-7.641767501831055,1830,0.006758960895240307,385000,760
,210,500.0,,8.41495343,,,,1830,,385000,770
0.00075,210,500.0,27764,9.97034126,-11.087135314941406,0.0011359641794115305,-7.359259128570557,1863,0.9053109884262085,392000,780
0.00075,210,500.0,28264,10.538257629999999,6.454878807067871,0.0012474627001211047,-7.320835113525391,1897,0.007446982432156801,399000,790
0.00075,210,500.0,28764,10.591123169999998,-1.6448718309402466,0.0012236969778314233,-7.169755458831787,1930,0.0047871763817965984,406000,800
,210,500.0,,10.591123169999998,,,,1930,,406000,810
0.00075,210,500.0,29264,11.27981151,-6.088662147521973,0.0011093760840594769,-7.011387825012207,1964,0.01352262869477272,413000,820
0.00075,210,500.0,29764,10.375642700000004,-3.215402364730835,0.0011496735969558358,-6.904778480529785,1997,0.004900560714304447,420000,830
,210,500.0,,10.375642700000004,,,,1997,,420000,840
0.00075,210,500.0,30264,10.39566547,0.5054746866226196,0.0011011366732418537,-6.750195503234863,2031,0.0037588721606880426,427000,850
0.00075,210,500.0,30764,9.08118601,-1.919586181640625,0.0011338137555867434,-6.4085845947265625,2064,0.009114104323089123,434000,860
0.00075,210,500.0,31264,8.60052428,11.667362213134766,0.001208053668960929,-6.425206184387207,2098,0.006414235569536686,441000,870
,210,500.0,,8.60052428,,,,2098,,441000,880
0.00075,210,500.0,31764,8.8719968,-5.226127624511719,0.0012975686695426702,-6.29716682434082,2131,0.0075724804773926735,448000,890
0.00075,210,500.0,32264,9.25868561,-4.633871078491211,0.001398480380885303,-6.152541160583496,2165,0.014416162855923176,455000,900
,210,500.0,,9.25868561,,,,2165,,455000,910
0.00075,210,500.0,32764,8.782713460000002,-4.341683387756348,0.0014248326187953353,-6.098669052124023,2199,0.022695353254675865,462000,920
0.00075,210,500.0,33264,8.248814959999999,-5.3919677734375,0.001547147985547781,-5.726473808288574,2232,0.013286463916301727,469000,930
0.00075,210,500.0,33764,7.878756609999998,-6.027324676513672,0.0013834259007126093,-5.805337429046631,2266,0.013024115934967995,476000,940
,210,500.0,,7.878756609999998,,,,2266,,476000,950
0.00075,210,500.0,34264,8.18282787,8.970600128173828,0.0015574470162391663,-6.264164924621582,2299,0.01091198530048132,483000,960
0.00075,210,500.0,34764,7.93019524,2.8056740760803223,0.001576305367052555,-5.7467474937438965,2332,0.02332216314971447,490000,970
,210,500.0,,7.93019524,,,,2332,,490000,980
0.00075,210,500.0,35264,7.30989604,2.1427228450775146,0.001525780651718378,-5.667476654052734,2365,0.009006415493786335,497000,990
0.00075,210,500.0,35764,7.238288379999999,-4.585423469543457,0.001706895069219172,-5.650327682495117,2398,0.005698096938431263,504000,1000
0.00075,210,500.0,36264,7.999635999999999,5.417897701263428,0.001641945680603385,-5.729034900665283,2432,0.01588819921016693,511000,1010
,210,500.0,,7.999635999999999,,,,2432,,511000,1020
0.00075,210,500.0,36764,8.924527470000001,-2.3469460010528564,0.0016551204025745392,-5.599403381347656,2466,0.006088702939450741,518000,1030
0.00075,210,500.0,37264,8.87037795,5.74278450012207,0.0016651778714731336,-5.732134819030762,2499,0.3530392646789551,525000,1040
,210,500.0,,8.87037795,,,,2499,,525000,1050
0.00075,210,500.0,37764,7.956753460000001,-6.914754867553711,0.0014636211562901735,-5.440286159515381,2532,0.014962595887482166,532000,1060
