time/time_elapsed,time/episodes,rollout/ep_rew_mean,train/ent_coef_loss,time/fps,train/n_updates,time/total_timesteps,rollout/ep_len_mean,train/critic_loss,train/ent_coef,train/actor_loss,train/learning_rate
1103,470,0.938353,-8.646032333374023,215,16764,238000,500.0,0.03700569272041321,0.0026285077910870314,-12.469686508178711,0.00075
1134,480,1.0417665200000001,-5.6341400146484375,215,17264,245000,500.0,0.8293149471282959,0.0025509896222501993,-12.342939376831055,0.00075
1135,490,1.0417665200000001,,215,,245000,500.0,,,,
1166,500,1.1720138100000002,-7.60650634765625,215,17764,252000,500.0,0.015278864651918411,0.0020661617163568735,-12.062065124511719,0.00075
1198,510,1.24397233,-0.43184947967529297,216,18264,259000,500.0,0.767770528793335,0.002176585840061307,-11.726470947265625,0.00075
1231,520,1.38535899,2.8344762325286865,216,18764,266000,500.0,0.01060967892408371,0.0020525064319372177,-11.557193756103516,0.00075
1231,530,1.38535899,,216,,266000,500.0,,,,
1262,540,1.4355538799999998,1.4471404552459717,216,19264,273000,500.0,0.9739689826965332,0.0019286572933197021,-11.15807819366455,0.00075
1295,550,1.3775300800000003,-3.2024781703948975,216,19764,280000,500.0,1.1407585144042969,0.0017919122474268079,-11.144155502319336,0.00075
1295,560,1.3775300800000003,,216,,280000,500.0,,,,
1326,570,1.3934821299999995,-3.8314743041992188,216,20264,287000,500.0,0.023241035640239716,0.001588721526786685,-10.745115280151367,0.00075
1359,580,1.3842709599999998,-0.41784703731536865,216,20764,294000,500.0,0.03784183785319328,0.0017318553291261196,-10.466590881347656,0.00075
1392,590,1.4305244699999997,-5.266457557678223,216,21264,301000,500.0,0.02534066140651703,0.001817059121094644,-10.478857040405273,0.00075
1392,600,1.4305244699999997,,216,,301000,500.0,,,,
1425,610,1.4963887599999999,1.3113452196121216,216,21764,308000,500.0,0.6018648147583008,0.0017659913282841444,-10.027959823608398,0.00075
1456,620,2.48337823,-12.242177963256836,216,22264,315000,500.0,0.008320385590195656,0.0015183546347543597,-10.052313804626465,0.00075
1457,630,2.48337823,,216,,315000,500.0,,,,
1489,640,2.564449409999999,-2.7282040119171143,216,22764,322000,500.0,0.011386556550860405,0.0014421684900298715,-9.717449188232422,0.00075
1521,650,2.62480843,1.9194185733795166,216,23264,329000,500.0,0.00950510986149311,0.0014142225263640285,-9.470734596252441,0.00075
1553,660,2.57452619,-2.383025884628296,216,23764,336000,500.0,0.0074746981263160706,0.0013338743010535836,-9.247920989990234,0.00075
