train/learning_rate,rollout/ep_len_mean,time/time_elapsed,train/ent_coef,train/actor_loss,rollout/ep_rew_mean,time/total_timesteps,train/critic_loss,train/ent_coef_loss,time/fps,time/episodes,train/n_updates
0.00075,500.0,2215,0.000710559543222189,-5.210386276245117,0.0,490000,0.009443367831408978,1.1323378086090088,221,970,34764
,500.0,2215,,,0.0,490000,,,221,980,
0.00075,500.0,2246,0.0006574939470738173,-5.015275955200195,0.0,497000,0.002093958668410778,2.5438499450683594,221,990,35264
0.00075,500.0,2277,0.0006222475203685462,-5.211840629577637,0.0,504000,0.003800636390224099,-2.138427257537842,221,1000,35764
0.00075,500.0,2308,0.0007255362579599023,-4.931121826171875,0.0,511000,0.0032366905361413956,7.624019622802734,221,1010,36264
,500.0,2308,,,0.0,511000,,,221,1020,
0.00075,500.0,2340,0.0006604797672480345,-4.857885360717773,0.0,518000,0.0015443607699126005,-0.896154522895813,221,1030,36764
0.00075,500.0,2371,0.0005762680666521192,-4.711234092712402,0.0,525000,0.0031770318746566772,9.183747291564941,221,1040,37264
,500.0,2371,,,0.0,525000,,,221,1050,
0.00075,500.0,2401,0.0006338331731967628,-4.406137943267822,0.0,532000,0.010595341213047504,-2.715608596801758,221,1060,37764
0.00075,500.0,2434,0.0006343075656332076,-4.50669002532959,0.0,539000,0.0018448433838784695,10.561115264892578,221,1070,38264
0.00075,500.0,2466,0.0005933858919888735,-4.241137981414795,0.0,546000,0.0015230184653773904,17.493820190429688,221,1080,38764
,500.0,2466,,,0.0,546000,,,221,1090,
0.00075,500.0,2497,0.0005987646873109043,-4.22553014755249,0.0,553000,0.0022109902929514647,4.204644680023193,221,1100,39264
0.00075,500.0,2529,0.0005916582304053009,-4.076783180236816,0.0,560000,0.06269915401935577,6.976836681365967,221,1110,39764
,500.0,2529,,,0.0,560000,,,221,1120,
0.00075,500.0,2561,0.0005418172804638743,-4.031365394592285,0.0,567000,0.003925330005586147,-8.518447875976562,221,1130,40264
0.00075,500.0,2593,0.0005412711179815233,-4.10528564453125,0.0,574000,0.001347027369774878,-13.030268669128418,221,1140,40764
0.00075,500.0,2625,0.0004942339146509767,-3.9111626148223877,0.0,581000,0.00503562344238162,-8.392598152160645,221,1150,41264
,500.0,2625,,,0.0,581000,,,221,1160,
0.00075,500.0,2657,0.00047384778736159205,-3.8333139419555664,0.0,588000,0.0016687344759702682,10.170836448669434,221,1170,41764
0.00075,500.0,2689,0.0004910139250569046,-3.705618381500244,0.0,595000,0.0047606718726456165,2.743438482284546,221,1180,42264
,500.0,2689,,,0.0,595000,,,221,1190,
0.00075,500.0,2720,0.0004925987450405955,-3.5809288024902344,0.0,602000,0.0018197400495409966,-4.698527812957764,221,1200,42764
0.00075,500.0,2750,0.0004444823134690523,-3.5304253101348877,0.0,609000,0.0012048895005136728,11.158863067626953,221,1210,43264
0.00075,500.0,2781,0.00048326386604458094,-3.4624266624450684,0.0,616000,0.08286483585834503,-7.2757744789123535,221,1220,43764
,500.0,2781,,,0.0,616000,,,221,1230,
0.00075,500.0,2814,0.0004043126536998898,-3.355562448501587,0.0,623000,0.0010022199712693691,-3.7230000495910645,221,1240,44264
0.00075,500.0,2845,0.00042634140118025243,-3.1218507289886475,0.0,630000,0.13539619743824005,5.391661167144775,221,1250,44764
,500.0,2845,,,0.0,630000,,,221,1260,
0.00075,500.0,2878,0.0004075723118148744,-3.1249213218688965,0.0,637000,0.001198548823595047,11.047433853149414,221,1270,45264
0.00075,500.0,2911,0.0004057542246300727,-3.1947736740112305,0.0,644000,0.0031538759358227253,-21.74396514892578,221,1280,45764
0.00075,500.0,2944,0.0003256563504692167,-3.0866682529449463,0.08,651000,0.001121722860261798,10.862713813781738,221,1290,46264
,500.0,2944,,,0.08,651000,,,221,1300,
0.00075,500.0,2978,0.0003721262328326702,-2.9882421493530273,0.08,658000,0.0013580673839896917,-9.708901405334473,220,1310,46764
0.00075,500.0,3012,0.0003541689657140523,-2.9242424964904785,0.08,665000,0.0008018434746190906,-4.833110809326172,220,1320,47264
,500.0,3012,,,0.08,665000,,,220,1330,
0.00075,500.0,3045,0.0003085629141423851,-2.8624045848846436,0.08,672000,0.0010075012687593699,-12.894073486328125,220,1340,47764
0.00075,500.0,3078,0.0003064663615077734,-2.8124489784240723,0.08,679000,0.001242048223502934,-1.8349546194076538,220,1350,48264
0.00075,500.0,3111,0.00035269063664600253,-2.7105040550231934,0.08,686000,0.0010901466012001038,0.5352913737297058,220,1360,48764
,500.0,3111,,,0.08,686000,,,220,1370,
0.00075,500.0,3144,0.0003583651559893042,-2.6150684356689453,0.08,693000,0.0771837905049324,0.8024854063987732,220,1380,49264
0.00075,500.0,3177,0.0002785645774565637,-2.671703577041626,0.0,700000,0.0003692423633765429,-8.073655128479004,220,1390,49764
,500.0,3177,,,0.0,700000,,,220,1400,
0.00075,500.0,3211,0.00027113143005408347,-2.4980967044830322,0.0,707000,0.000814013765193522,8.152210235595703,220,1410,50264
0.00075,500.0,3245,0.00030888826586306095,-2.4848427772521973,0.0,714000,0.0006418093107640743,-7.068150520324707,220,1420,50764
0.00075,500.0,3278,0.00030714046442881227,-2.3990070819854736,0.0,721000,0.029633689671754837,6.016909599304199,219,1430,51264
,500.0,3278,,,0.0,721000,,,219,1440,
0.00075,500.0,3311,0.0002640630700625479,-2.3111963272094727,0.0,728000,0.0008196813287213445,0.8888263702392578,219,1450,51764
0.00075,500.0,3345,0.0002594678371679038,-2.2747693061828613,0.0,735000,0.029116567224264145,8.689178466796875,219,1460,52264
,500.0,3345,,,0.0,735000,,,219,1470,
0.00075,500.0,3378,0.00026220307336188853,-2.1572439670562744,0.0,742000,0.02080773189663887,5.194673538208008,219,1480,52764
0.00075,500.0,3411,0.00025073502911254764,-2.160919189453125,0.0,749000,0.0007261938881129026,3.064526319503784,219,1490,53264
0.00075,500.0,3444,0.0002560287539381534,-2.1357903480529785,0.0,756000,0.03603330999612808,10.398462295532227,219,1500,53764
,500.0,3444,,,0.0,756000,,,219,1510,
0.00075,500.0,3476,0.00024582957848906517,-2.0795674324035645,0.0,763000,0.00042658529127947986,2.7124154567718506,219,1520,54264
0.00075,500.0,3509,0.000255529215792194,-2.086672782897949,0.0,770000,0.04206380248069763,22.76102066040039,219,1530,54764
,500.0,3509,,,0.0,770000,,,219,1540,
0.00075,500.0,3543,0.0002602615859359503,-2.015089273452759,0.0,777000,0.00023758807219564915,-13.578704833984375,219,1550,55264
0.00075,500.0,3576,0.0002724673831835389,-1.945788025856018,0.0,784000,0.000390662404242903,18.36899185180664,219,1560,55764
0.00075,500.0,3609,0.0002719240728765726,-1.8983776569366455,0.0,791000,0.013828517869114876,21.91701889038086,219,1570,56264
,500.0,3610,,,0.0,791000,,,219,1580,
0.00075,500.0,3643,0.0002532632206566632,-1.873042345046997,0.0,798000,0.03375924378633499,6.513474464416504,219,1590,56764
0.00075,500.0,3676,0.00022914753935765475,-1.8230814933776855,0.0,805000,0.0001850899716373533,-0.30783331394195557,218,1600,57264
,500.0,3676,,,0.0,805000,,,218,1610,
0.00075,500.0,3710,0.00025527956313453615,-1.8511098623275757,0.0,812000,0.00038366852095350623,28.203880310058594,218,1620,57764
0.00075,500.0,3743,0.00021706883853767067,-1.7796382904052734,0.0,819000,0.029615117236971855,-5.8407368659973145,218,1630,58264
0.00075,500.0,3777,0.0002179917792091146,-1.7425159215927124,0.0,826000,0.024934832006692886,2.4876458644866943,218,1640,58764
,500.0,3777,,,0.0,826000,,,218,1650,
0.00075,500.0,3810,0.00026242146850563586,-1.6974623203277588,0.0,833000,0.00024947384372353554,-4.631524085998535,218,1660,59264
0.00075,500.0,3842,0.0002155258844140917,-1.6698664426803589,0.0,840000,0.0601583868265152,-8.728949546813965,218,1670,59764
,500.0,3842,,,0.0,840000,,,218,1680,
0.00075,500.0,3875,0.00020771285926457494,-1.637181043624878,0.0,847000,0.018728025257587433,2.873136043548584,218,1690,60264
0.00075,500.0,3908,0.00023604229500051588,-1.5641762018203735,0.0,854000,0.00031428938382305205,2.583425283432007,218,1700,60764
0.00075,500.0,3941,0.0002064030704787001,-1.5086565017700195,0.0,861000,0.00022410618839785457,0.16979026794433594,218,1710,61264
,500.0,3941,,,0.0,861000,,,218,1720,
0.00075,500.0,3975,0.00022374307445716113,-1.4986279010772705,0.0,868000,0.02054368332028389,0.667724609375,218,1730,61764
0.00075,500.0,4008,0.00018303048273082823,-1.4594651460647583,0.0,875000,0.00013549272262025625,-0.08745461702346802,218,1740,62264
,500.0,4008,,,0.0,875000,,,218,1750,
0.00075,500.0,4041,0.0002018969098571688,-1.4880732297897339,0.0,882000,0.00013865050277672708,2.4034171104431152,218,1760,62764
0.00075,500.0,4074,0.00016384481568820775,-1.477545976638794,0.0,889000,0.0394219309091568,-2.5462145805358887,218,1770,63264
0.00075,500.0,4108,0.0001827451487770304,-1.3713150024414062,0.0,896000,0.015981361269950867,-12.667680740356445,218,1780,63764
,500.0,4108,,,0.0,896000,,,218,1790,
0.00075,500.0,4140,0.00016699000843800604,-1.4017198085784912,0.0,903000,0.0001116410712711513,-11.410433769226074,218,1800,64264
0.00075,500.0,4173,0.0001457524485886097,-1.3531116247177124,0.0,910000,0.00027540483279153705,14.658452987670898,218,1810,64764
