train/n_updates,rollout/ep_len_mean,train/critic_loss,rollout/ep_rew_mean,train/learning_rate,time/time_elapsed,train/ent_coef_loss,train/ent_coef,time/fps,time/total_timesteps,train/actor_loss,time/episodes
39264,500.0,0.014501160010695457,2.68,0.00075,2608,-10.213676452636719,0.0008907642331905663,211,553000,-4.668001174926758,1100
39764,500.0,0.1529756486415863,0.0,0.00075,2642,11.809627532958984,0.0008089235052466393,211,560000,-4.542703628540039,1110
,500.0,,0.0,,2642,,,211,560000,,1120
40264,500.0,0.010246776044368744,0.0,0.00075,2675,4.583684921264648,0.0007885120576247573,211,567000,-4.463129043579102,1130
40764,500.0,0.2000780999660492,0.0,0.00075,2708,-9.962879180908203,0.0008145948522724211,211,574000,-4.541716575622559,1140
41264,500.0,0.12493152916431427,0.0,0.00075,2741,4.792970657348633,0.0007959984359331429,211,581000,-4.365478515625,1150
,500.0,,0.0,,2741,,,211,581000,,1160
41764,500.0,0.0027809026651084423,0.0,0.00075,2775,0.27946412563323975,0.0008873024489730597,211,588000,-4.289546012878418,1170
42264,500.0,0.029069168493151665,0.0,0.00075,2809,-3.5226612091064453,0.000941118982154876,211,595000,-4.308623313903809,1180
,500.0,,0.0,,2809,,,211,595000,,1190
42764,500.0,0.03230465203523636,0.0,0.00075,2842,4.885750770568848,0.0008981928694993258,211,602000,-4.337429046630859,1200
43264,500.0,0.002998712472617626,0.0,0.00075,2875,-4.76094913482666,0.0007682610303163528,211,609000,-4.12717342376709,1210
43764,500.0,0.00541422376409173,0.0,0.00075,2908,7.5446014404296875,0.0007693215738981962,211,616000,-4.021636009216309,1220
,500.0,,0.0,,2908,,,211,616000,,1230
44264,500.0,0.010602625086903572,0.0,0.00075,2941,-1.0734211206436157,0.0008095265366137028,211,623000,-3.8651773929595947,1240
44764,500.0,0.0503392368555069,0.0,0.00075,2974,4.829308986663818,0.0007269214256666601,211,630000,-3.8979954719543457,1250
,500.0,,0.0,,2974,,,211,630000,,1260
45264,500.0,0.008619371801614761,0.0,0.00075,3007,7.71213436126709,0.0007212950731627643,211,637000,-3.8284549713134766,1270
45764,500.0,0.004610651172697544,0.0,0.00075,3040,-0.6902806758880615,0.0006229333230294287,211,644000,-4.060096263885498,1280
46264,500.0,0.08197477459907532,0.0,0.00075,3072,-2.8451859951019287,0.0007259757840074599,211,651000,-3.7603368759155273,1290
,500.0,,0.0,,3072,,,211,651000,,1300
46764,500.0,0.017848093062639236,0.0,0.00075,3105,-1.5615689754486084,0.0007744693430140615,211,658000,-3.812072515487671,1310
47264,500.0,0.003596658818423748,0.0,0.00075,3138,-1.351984977722168,0.0006885727634653449,211,665000,-3.5539379119873047,1320
,500.0,,0.0,,3138,,,211,665000,,1330
47764,500.0,1.0883331298828125,0.0,0.00075,3171,3.336449146270752,0.0007925507961772382,211,672000,-3.4213480949401855,1340
48264,500.0,0.14812541007995605,0.0,0.00075,3203,-3.2458178997039795,0.0007379776798188686,211,679000,-3.382213592529297,1350
48764,500.0,0.056216027587652206,0.0,0.00075,3236,-3.200035333633423,0.0006897255661897361,211,686000,-3.441425323486328,1360
,500.0,,0.0,,3236,,,211,686000,,1370
49264,500.0,0.010568229481577873,0.0,0.00075,3268,5.899302005767822,0.0006885044858790934,212,693000,-3.406477451324463,1380
49764,500.0,0.023946234956383705,0.0,0.00075,3301,-1.7530460357666016,0.0007212146301753819,212,700000,-3.432906150817871,1390
,500.0,,0.0,,3301,,,212,700000,,1400
