time/fps,train/n_updates,time/time_elapsed,time/total_timesteps,train/ent_coef,train/actor_loss,rollout/ep_rew_mean,rollout/ep_len_mean,train/ent_coef_loss,time/episodes,train/critic_loss,train/learning_rate
220,,2948,651000,,,0.0,500.0,,1300,,
220,46764,2982,658000,0.00046098651364445686,-3.0479612350463867,0.0,500.0,9.194253921508789,1310,0.005905990954488516,0.00075
220,47264,3015,665000,0.000390143773984164,-2.88376784324646,0.74,500.0,-11.02851676940918,1320,0.17536889016628265,0.00075
220,,3015,665000,,,0.74,500.0,,1330,,
220,47764,3046,672000,0.00040654512122273445,-2.849980115890503,0.74,500.0,-7.402482032775879,1340,0.0009898764546960592,0.00075
220,48264,3077,679000,0.00039878490497358143,-2.8049182891845703,0.74,500.0,-13.189863204956055,1350,0.0012177354656159878,0.00075
220,48764,3109,686000,0.0004551403399091214,-2.8464818000793457,0.74,500.0,29.339279174804688,1360,0.002730907639488578,0.00075
220,,3109,686000,,,0.74,500.0,,1370,,
220,49264,3141,693000,0.00044946037814952433,-2.7672512531280518,0.74,500.0,5.0958356857299805,1380,0.004401089623570442,0.00075
220,49764,3174,700000,0.0004317579441703856,-2.634751796722412,0.74,500.0,-2.3309884071350098,1390,0.0015296887140721083,0.00075
220,,3174,700000,,,0.74,500.0,,1400,,
220,50264,3208,707000,0.0005038436502218246,-2.6211886405944824,0.74,500.0,-5.003403663635254,1410,0.0019122108351439238,0.00075
220,50764,3242,714000,0.0004324228211771697,-2.539274215698242,0.0,500.0,-4.992039680480957,1420,0.0012458224082365632,0.00075
220,51264,3276,721000,0.0004268992051947862,-2.3716325759887695,0.0,500.0,-6.378682613372803,1430,0.00272923125885427,0.00075
220,,3276,721000,,,0.0,500.0,,1440,,
219,51764,3311,728000,0.00040434233960695565,-2.3707215785980225,0.0,500.0,0.11069869995117188,1450,0.0028820745646953583,0.00075
219,52264,3345,735000,0.0004127955180592835,-2.3939311504364014,0.0,500.0,-4.394275665283203,1460,0.0012126086512580514,0.00075
219,,3345,735000,,,0.0,500.0,,1470,,
219,52764,3379,742000,0.00044773329864256084,-2.3427836894989014,0.0,500.0,-2.1919682025909424,1480,0.04695352911949158,0.00075
219,53264,3414,749000,0.0003847864572890103,-2.2468671798706055,0.0,500.0,-15.953819274902344,1490,0.0007289647473953664,0.00075
219,53764,3448,756000,0.00037751480704173446,-2.1891279220581055,0.85,500.0,-6.06088924407959,1500,0.001773927011527121,0.00075
219,,3448,756000,,,0.85,500.0,,1510,,
219,54264,3482,763000,0.0004250712809152901,-2.2913575172424316,0.85,500.0,-0.028462886810302734,1520,0.0016703496221452951,0.00075
218,54764,3516,770000,0.000416774331824854,-2.2872133255004883,0.85,500.0,-9.16333293914795,1530,0.003447119612246752,0.00075
218,,3516,770000,,,0.85,500.0,,1540,,
