train/actor_loss,rollout/ep_rew_mean,train/ent_coef,train/critic_loss,train/learning_rate,time/fps,train/ent_coef_loss,time/time_elapsed,train/n_updates,time/episodes,time/total_timesteps,rollout/ep_len_mean
-8.558876037597656,81.09640540000001,0.0027838493697345257,0.04888538643717766,0.00075,217,5.578601837158203,3352,51764,1450,728000,500.0
-7.966558456420898,78.52221973,0.0027300699148327112,0.05496545508503914,0.00075,217,2.0691134929656982,3385,52264,1460,735000,500.0
,78.52221973,,,,217,,3385,,1470,735000,500.0
-8.768308639526367,64.89944159000001,0.002831181511282921,0.37991487979888916,0.00075,217,0.3352046012878418,3418,52764,1480,742000,500.0
-7.5865068435668945,60.89294512000001,0.0030334428884088993,0.05908700451254845,0.00075,217,-2.281559944152832,3451,53264,1490,749000,500.0
-8.286800384521484,59.1040694,0.0028951414860785007,0.4673773944377899,0.00075,217,-5.0845232009887695,3483,53764,1500,756000,500.0
,59.1040694,,,,217,,3483,,1510,756000,500.0
-8.282550811767578,63.38488206000001,0.0028832699172198772,0.4642578363418579,0.00075,216,-4.933269500732422,3516,54264,1520,763000,500.0
-8.547687530517578,58.23980333,0.002985377097502351,0.246305912733078,0.00075,216,-3.305309295654297,3548,54764,1530,770000,500.0
,58.23980333,,,,216,,3548,,1540,770000,500.0
-8.424125671386719,57.63259555,0.003023133845999837,0.09962572157382965,0.00075,216,-0.6367071866989136,3582,55264,1550,777000,500.0
-8.35464859008789,57.823931030000004,0.0027325248811393976,0.0494556650519371,0.00075,216,-3.064535140991211,3617,55764,1560,784000,500.0
-8.274880409240723,57.96578035,0.002754188608378172,0.06848076730966568,0.00075,216,3.9598278999328613,3650,56264,1570,791000,500.0
,57.96578035,,,,216,,3650,,1580,791000,500.0
-8.825864791870117,65.75643317,0.0030041325371712446,1.6469452381134033,0.00075,216,-2.3398377895355225,3683,56764,1590,798000,500.0
