train/ent_coef_loss,rollout/ep_len_mean,train/n_updates,train/learning_rate,rollout/ep_rew_mean,train/ent_coef,train/actor_loss,time/time_elapsed,train/critic_loss,time/total_timesteps,time/episodes,time/fps
2.0909180641174316,500.0,28264,0.00075,0.0,0.0013193248305469751,-7.5609846115112305,1791,0.006637101992964745,399000,790,222
10.904181480407715,500.0,28764,0.00075,0.0,0.0013835288118571043,-7.328855991363525,1823,1.0671439170837402,406000,800,222
,500.0,,,0.0,,,1823,,406000,810,222
10.953417778015137,500.0,29264,0.00075,0.0,0.001225693617016077,-7.2019476890563965,1854,0.4549090266227722,413000,820,222
-2.989084243774414,500.0,29764,0.00075,0.0,0.001168231712654233,-7.108088493347168,1885,0.002986367791891098,420000,830,222
,500.0,,,0.0,,,1885,,420000,840,222
-0.15350890159606934,500.0,30264,0.00075,0.0,0.0012013722443953156,-7.139225006103516,1916,0.2747010886669159,427000,850,222
-4.962405204772949,500.0,30764,0.00075,0.0,0.0012573635904118419,-6.750969886779785,1947,0.008853597566485405,434000,860,222
1.1907658576965332,500.0,31264,0.00075,0.0,0.0011892032343894243,-6.77296257019043,1978,0.007746319752186537,441000,870,222
,500.0,,,0.0,,,1978,,441000,880,222
-12.589569091796875,500.0,31764,0.00075,0.0,0.0011429639998823404,-6.684915542602539,2009,0.0029424363747239113,448000,890,222
11.220073699951172,500.0,32264,0.00075,0.0,0.001031768973916769,-6.375277042388916,2041,0.20860454440116882,455000,900,222
,500.0,,,0.0,,,2041,,455000,910,222
-1.9709641933441162,500.0,32764,0.00075,0.0,0.0009551412076689303,-6.129719257354736,2072,0.010305950418114662,462000,920,222
-5.804134368896484,500.0,33264,0.00075,0.0,0.0009855221724137664,-6.210718631744385,2103,0.004387473687529564,469000,930,222
-3.57444429397583,500.0,33764,0.00075,0.0,0.000994961941614747,-5.992272853851318,2134,0.00552402064204216,476000,940,222
,500.0,,,0.0,,,2134,,476000,950,222
0.6206318140029907,500.0,34264,0.00075,0.0,0.0008895107894204557,-5.913843631744385,2165,0.0024656495079398155,483000,960,222
