train/actor_loss,time/total_timesteps,time/fps,train/critic_loss,rollout/ep_rew_mean,rollout/ep_len_mean,train/n_updates,train/learning_rate,time/time_elapsed,train/ent_coef_loss,time/episodes,train/ent_coef
-2.994382381439209,735000,219,0.004458344541490078,0.0,500.0,52264,0.00075,3352,1.7101867198944092,1460,0.0005468949675559998
,735000,219,,0.0,500.0,,,3352,,1470,
-2.984412431716919,742000,219,0.06610436737537384,0.0,500.0,52764,0.00075,3385,0.5399758219718933,1480,0.0005688231904059649
-2.85459303855896,749000,219,0.005789999384433031,0.0,500.0,53264,0.00075,3417,2.748359203338623,1490,0.0006272741593420506
-2.8206162452697754,756000,219,0.0027092257514595985,0.0,500.0,53764,0.00075,3449,-0.8207862377166748,1500,0.0005971764912828803
,756000,219,,0.0,500.0,,,3449,,1510,
-2.8213257789611816,763000,219,0.0021107117645442486,0.0,500.0,54264,0.00075,3482,6.148710250854492,1520,0.0006402666331268847
-3.1655187606811523,770000,219,0.011299598030745983,0.0,500.0,54764,0.00075,3514,-7.651186943054199,1530,0.0006556320586241782
,770000,219,,0.0,500.0,,,3514,,1540,
-2.836854934692383,777000,219,0.0032869658898562193,0.0,500.0,55264,0.00075,3546,-1.6062300205230713,1550,0.0006346292211674154
-2.6464014053344727,784000,219,0.014001131057739258,0.0,500.0,55764,0.00075,3578,14.853466033935547,1560,0.0006653854507021606
-3.0620312690734863,791000,219,0.0026486257556825876,0.0,500.0,56264,0.00075,3609,-0.4468567371368408,1570,0.00069935288047418
,791000,219,,0.0,500.0,,,3609,,1580,
-3.1269876956939697,798000,219,0.1619974672794342,0.0,500.0,56764,0.00075,3641,-1.6080247163772583,1590,0.0007352839456871152
-2.9229533672332764,805000,219,0.0024076623376458883,0.0,500.0,57264,0.00075,3673,-2.9938549995422363,1600,0.0007185848080553114
,805000,219,,0.0,500.0,,,3673,,1610,
-3.116382598876953,812000,219,0.06933315098285675,0.0,500.0,57764,0.00075,3705,3.499873638153076,1620,0.0007747966446913779
-3.11791729927063,819000,219,0.00463456055149436,0.0,500.0,58264,0.00075,3737,1.7756750583648682,1630,0.0007454721489921212
-2.9799280166625977,826000,219,0.00517494510859251,0.0,500.0,58764,0.00075,3768,0.8989049792289734,1640,0.0007608799496665597
,826000,219,,0.0,500.0,,,3768,,1650,
-3.3524012565612793,833000,219,0.6263217926025391,0.0,500.0,59264,0.00075,3800,-8.813047409057617,1660,0.0008796777692623436
-2.9931063652038574,840000,219,0.004039072431623936,0.0,500.0,59764,0.00075,3832,-4.724798202514648,1670,0.0007910269778221846
,840000,219,,0.0,500.0,,,3832,,1680,
-3.198920249938965,847000,219,0.00685019139200449,0.0,500.0,60264,0.00075,3864,-5.6962504386901855,1690,0.0007916012546047568
-3.3608145713806152,854000,219,0.00626456830650568,0.0,500.0,60764,0.00075,3895,1.875737190246582,1700,0.0008866845164448023
-2.9102048873901367,861000,219,0.03911812603473663,0.0,500.0,61264,0.00075,3927,0.9055697917938232,1710,0.0008233202970586717
,861000,219,,0.0,500.0,,,3927,,1720,
-3.4447622299194336,868000,219,0.007392686326056719,0.0,500.0,61764,0.00075,3958,-3.39711856842041,1730,0.0009241068037226796
-3.3876662254333496,875000,219,0.04496303200721741,0.0,500.0,62264,0.00075,3989,-0.2862597703933716,1740,0.0009103635675273836
,875000,219,,0.0,500.0,,,3989,,1750,
-3.160123348236084,882000,219,0.005383118521422148,0.0,500.0,62764,0.00075,4021,4.954583644866943,1760,0.0009610267588868737
-3.3786392211914062,889000,219,0.0040941680781543255,0.0,500.0,63264,0.00075,4052,-6.560362815856934,1770,0.0009257144411094487
-3.1789627075195312,896000,219,0.32499754428863525,0.0,500.0,63764,0.00075,4084,-4.211946964263916,1780,0.0009452349622733891
,896000,219,,0.0,500.0,,,4084,,1790,
-3.3102123737335205,903000,219,0.007710320875048637,0.0,500.0,64264,0.00075,4115,-3.329002857208252,1800,0.0009230736759491265
-3.3192214965820312,910000,219,0.005221419036388397,0.0,500.0,64764,0.00075,4146,4.134890079498291,1810,0.00104550423566252
,910000,219,,0.0,500.0,,,4146,,1820,
-3.5720736980438232,917000,219,0.007381287869066,0.0,500.0,65264,0.00075,4178,-3.026970863342285,1830,0.0009207960101775825
-3.665989875793457,924000,219,0.006799662951380014,0.0,500.0,65764,0.00075,4209,6.879396915435791,1840,0.0010037989122793078
-3.386547565460205,931000,219,0.013086432591080666,0.0,500.0,66264,0.00075,4240,-2.303192138671875,1850,0.0009498150320723653
,931000,219,,0.0,500.0,,,4240,,1860,
-3.35224986076355,938000,219,0.009839516133069992,0.0,500.0,66764,0.00075,4271,-4.651360511779785,1870,0.0010418846504762769
-3.7540371417999268,945000,219,0.021410224959254265,0.0,500.0,67264,0.00075,4302,2.3126449584960938,1880,0.000935274176299572
,945000,219,,0.0,500.0,,,4302,,1890,
-3.807966470718384,952000,219,0.012203043326735497,0.0,500.0,67764,0.00075,4333,5.923369407653809,1900,0.0009841026039794087
-3.37518572807312,959000,219,0.005641428753733635,0.0,500.0,68264,0.00075,4365,0.7369219064712524,1910,0.0009024119935929775
-3.115372657775879,966000,219,0.0037559079937636852,0.0,500.0,68764,0.00075,4396,-5.008984565734863,1920,0.00098985165823251
,966000,219,,0.0,500.0,,,4396,,1930,
-3.443423271179199,973000,219,0.004139353521168232,0.0,500.0,69264,0.00075,4431,-2.4822287559509277,1940,0.00087817816529423
-3.6013503074645996,980000,219,0.0078542809933424,0.0,500.0,69764,0.00075,4465,8.167841911315918,1950,0.0009483795147389174
,980000,219,,0.0,500.0,,,4465,,1960,
-3.5064873695373535,987000,219,0.004887848161160946,0.0,500.0,70264,0.00075,4499,1.0599530935287476,1970,0.0009087587823159993
-3.336771011352539,994000,219,0.010646241717040539,0.0,500.0,70764,0.00075,4531,19.685802459716797,1980,0.000976024370174855
