train/n_updates,train/ent_coef,train/critic_loss,time/fps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,train/actor_loss,train/ent_coef_loss,time/total_timesteps,train/learning_rate,rollout/ep_len_mean
,,,210,840,0.0,1991,,,420000,,500.0
30264,0.001115127932280302,0.018824631348252296,210,850,0.0,2024,-6.945775985717773,-7.232460021972656,427000,0.00075,500.0
30764,0.0010406409855931997,0.004067440517246723,210,860,0.0,2057,-6.778770923614502,0.5517058372497559,434000,0.00075,500.0
31264,0.00103010144084692,0.006131448317319155,210,870,0.0,2091,-6.391086578369141,9.20117473602295,441000,0.00075,500.0
,,,210,880,0.0,2091,,,441000,,500.0
31764,0.0010451627895236015,0.11824014782905579,210,890,0.0,2124,-6.481853485107422,6.129146099090576,448000,0.00075,500.0
32264,0.001048293779604137,0.0032651186920702457,210,900,0.0,2158,-6.255160331726074,-1.690482258796692,455000,0.00075,500.0
,,,210,910,0.0,2158,,,455000,,500.0
32764,0.0009033479727804661,0.005090116523206234,210,920,0.0,2192,-5.994731903076172,-2.1575679779052734,462000,0.00075,500.0
33264,0.0009148020762950182,0.0026852083392441273,210,930,0.0,2226,-6.047837734222412,-7.074334144592285,469000,0.00075,500.0
33764,0.0009115493739955127,0.009259299375116825,210,940,0.0,2258,-5.735869407653809,-4.511094570159912,476000,0.00075,500.0
,,,210,950,0.0,2258,,,476000,,500.0
34264,0.00089314638171345,0.0030412101186811924,210,960,0.0,2292,-5.737044811248779,7.191195487976074,483000,0.00075,500.0
34764,0.0008401584345847368,0.0036583265755325556,210,970,0.0,2325,-5.61829948425293,5.36362361907959,490000,0.00075,500.0
,,,210,980,0.0,2325,,,490000,,500.0
35264,0.0008026352734304965,0.2787073254585266,210,990,0.0,2358,-5.498473167419434,-10.759702682495117,497000,0.00075,500.0
35764,0.000725796795450151,0.004243446514010429,210,1000,0.0,2391,-5.3281331062316895,-9.19253158569336,504000,0.00075,500.0
36264,0.0007992525352165103,0.0022654214408248663,210,1010,0.0,2425,-5.29737663269043,0.5081150531768799,511000,0.00075,500.0
,,,210,1020,0.0,2425,,,511000,,500.0
36764,0.0006827176548540592,0.002292943187057972,210,1030,0.0,2458,-5.071784019470215,-1.0251919031143188,518000,0.00075,500.0
37264,0.0006894737016409636,0.0017499703681096435,210,1040,0.0,2492,-4.993176460266113,-3.7056221961975098,525000,0.00075,500.0
,,,210,1050,0.0,2492,,,525000,,500.0
37764,0.0007159826345741749,0.004363018088042736,210,1060,0.0,2525,-4.837669372558594,0.3126336336135864,532000,0.00075,500.0
38264,0.0007797683356329799,0.0019469595281407237,210,1070,0.0,2558,-4.870277404785156,-5.708740234375,539000,0.00075,500.0
38764,0.0007156815845519304,0.0017586497124284506,210,1080,0.0,2591,-4.648120880126953,-6.028777122497559,546000,0.00075,500.0
,,,210,1090,0.0,2591,,,546000,,500.0
39264,0.0006463905447162688,0.12262492626905441,210,1100,0.0,2625,-4.465456962585449,0.13910120725631714,553000,0.00075,500.0
39764,0.0006387666799128056,0.0025735353119671345,210,1110,0.0,2658,-4.3245649337768555,14.987966537475586,560000,0.00075,500.0
,,,210,1120,0.0,2658,,,560000,,500.0
40264,0.0006038382416591048,0.0012819861294701695,210,1130,0.0,2691,-4.32978630065918,14.718016624450684,567000,0.00075,500.0
40764,0.0006499135633930564,0.004337897524237633,210,1140,0.0,2724,-4.236617088317871,-12.158574104309082,574000,0.00075,500.0
41264,0.0005598348216153681,0.0014937605010345578,210,1150,0.0,2758,-4.1661858558654785,-10.971420288085938,581000,0.00075,500.0
